2024-12-06T11:20:27.003775 | Position: 55.471542, 10.324293, 53.98 m | Raw Position: 55.471542, 10.324292, 53.92 m | RSSI: -44.4 | Remote RSSI: -45.9
2024-12-06T11:20:28.003773 | Position: 55.471542, 10.324292, 53.95 m | Raw Position: 55.471541, 10.324292, 53.82 m | RSSI: -50.7 | Remote RSSI: -44.9
2024-12-06T11:20:29.003775 | Position: 55.471541, 10.324292, 53.90 m | Raw Position: 55.471541, 10.324292, 53.79 m | RSSI: -44.9 | Remote RSSI: -42.8
2024-12-06T11:20:30.003771 | Position: 55.471541, 10.324292, 53.86 m | Raw Position: 55.471541, 10.324291, 53.78 m | RSSI: -45.4 | Remote RSSI: -43.3
2024-12-06T11:20:31.003942 | Position: 55.471541, 10.324291, 53.84 m | Raw Position: 55.471541, 10.324291, 53.77 m | RSSI: -52.3 | Remote RSSI: -48.1
2024-12-06T11:20:32.003749 | Position: 55.471541, 10.324291, 53.79 m | Raw Position: 55.471541, 10.324291, 53.74 m | RSSI: -47.0 | Remote RSSI: -43.8
2024-12-06T11:20:33.003798 | Position: 55.471541, 10.324291, 53.75 m | Raw Position: 55.471540, 10.324291, 53.70 m | RSSI: -49.6 | Remote RSSI: -46.5
2024-12-06T11:20:34.004076 | Position: 55.471540, 10.324291, 53.73 m | Raw Position: 55.471540, 10.324290, 53.66 m | RSSI: -46.5 | Remote RSSI: -48.1
2024-12-06T11:20:35.004013 | Position: 55.471540, 10.324290, 53.70 m | Raw Position: 55.471540, 10.324290, 53.57 m | RSSI: -44.9 | Remote RSSI: -44.9
2024-12-06T11:20:36.003767 | Position: 55.471540, 10.324290, 53.60 m | Raw Position: 55.471540, 10.324290, 53.48 m | RSSI: -42.8 | Remote RSSI: -43.8
2024-12-06T11:20:37.003629 | Position: 55.471540, 10.324290, 53.53 m | Raw Position: 55.471540, 10.324290, 53.39 m | RSSI: -41.2 | Remote RSSI: -41.7
2024-12-06T11:20:38.003958 | Position: 55.471540, 10.324290, 53.49 m | Raw Position: 55.471540, 10.324290, 53.36 m | RSSI: -42.8 | Remote RSSI: -40.7
2024-12-06T11:20:39.003926 | Position: 55.471540, 10.324290, 53.40 m | Raw Position: 55.471540, 10.324289, 53.24 m | RSSI: -45.4 | Remote RSSI: -41.7
2024-12-06T11:20:40.003847 | Position: 55.471540, 10.324289, 53.33 m | Raw Position: 55.471541, 10.324289, 53.22 m | RSSI: -48.1 | Remote RSSI: -48.6
2024-12-06T11:20:41.004143 | Position: 55.471540, 10.324289, 53.27 m | Raw Position: 55.471541, 10.324289, 53.21 m | RSSI: -52.3 | Remote RSSI: -47.0
2024-12-06T11:20:42.003786 | Position: 55.471541, 10.324289, 53.23 m | Raw Position: 55.471541, 10.324289, 53.22 m | RSSI: -46.5 | Remote RSSI: -46.5
2024-12-06T11:20:43.003763 | Position: 55.471541, 10.324289, 53.22 m | Raw Position: 55.471541, 10.324289, 53.17 m | RSSI: -47.0 | Remote RSSI: -45.9
2024-12-06T11:20:44.003747 | Position: 55.471541, 10.324289, 53.18 m | Raw Position: 55.471541, 10.324289, 53.14 m | RSSI: -47.0 | Remote RSSI: -45.9
2024-12-06T11:20:45.003785 | Position: 55.471541, 10.324289, 53.15 m | Raw Position: 55.471541, 10.324289, 53.15 m | RSSI: -45.4 | Remote RSSI: -47.5
2024-12-06T11:20:46.003764 | Position: 55.471541, 10.324289, 53.14 m | Raw Position: 55.471540, 10.324289, 53.15 m | RSSI: -47.0 | Remote RSSI: -45.4
2024-12-06T11:20:47.003955 | Position: 55.471541, 10.324289, 53.14 m | Raw Position: 55.471540, 10.324288, 53.10 m | RSSI: -44.4 | Remote RSSI: -44.9
2024-12-06T11:20:48.004184 | Position: 55.471540, 10.324289, 53.11 m | Raw Position: 55.471540, 10.324288, 53.11 m | RSSI: -43.8 | Remote RSSI: -43.3
2024-12-06T11:20:49.003943 | Position: 55.471540, 10.324288, 53.10 m | Raw Position: 55.471540, 10.324288, 53.10 m | RSSI: -43.8 | Remote RSSI: -42.8
